id,platform,post_id,url,tagged_account_handle,tagged_hashtags,language,author_handle,author_display_name,category,text,created_at,retrieved_at,media_json,metrics_json,raw_json,account_id,reply_to_post_id,quoted_post_id
1,x,2018030185287758313,https://x.com/ICEgov/status/2018030185287758313,"[""DHSgov""]",,en,ICEgov,U.S. Immigration and Customs Enforcement,government,"RT @DHSgov: This story of a 5-year-old being used as ""bait"" is a smear pushed by the media and anti-ICE activists. He was abandoned by his…",Sun Feb 01 18:34:24 +0000 2026,2026-02-01T18:39:11.681837+00:00,[],"{""favorite_count"": 0, ""retweet_count"": 1079, ""reply_count"": 0, ""quote_count"": 0, ""bookmark_count"": 0, ""views"": null}","{""created_at"": ""Sun Feb 01 18:34:24 +0000 2026"", ""attached_urls"": [], ""attached_urls2"": null, ""attached_media"": null, ""tagged_users"": [""DHSgov""], ""tagged_hashtags"": [], ""favorite_count"": 0, ""bookmark_count"": 0, ""quote_count"": 0, ""reply_count"": 0, ""retweet_count"": 1079, ""text"": ""RT @DHSgov: This story of a 5-year-old being used as \""bait\"" is a smear pushed by the media and anti-ICE activists. He was abandoned by his…"", ""is_quote"": false, ""is_retweet"": false, ""language"": ""en"", ""user_id"": ""39384517"", ""id"": ""2018030185287758313"", ""conversation_id"": ""2018030185287758313"", ""source"": ""<a href=\""https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>"", ""views"": null, ""in_reply_to_status_id"": null, ""quoted_status_id"": null, ""url"": ""https://x.com/ICEgov/status/2018030185287758313""}",1,,
2,x,2018030171597558000,https://x.com/ICEgov/status/2018030171597558000,"[""RapidResponse47"", ""Sec_Noem"", ""DHSgov"", ""ICEgov""]",,en,ICEgov,U.S. Immigration and Customs Enforcement,government,"RT @RapidResponse47: .@Sec_Noem on @DHSgov's record-setting year under President Trump: ""Just at @ICEgov, we had over 220,000 applications…",Sun Feb 01 18:34:20 +0000 2026,2026-02-01T18:39:11.682985+00:00,[],"{""favorite_count"": 0, ""retweet_count"": 171, ""reply_count"": 0, ""quote_count"": 0, ""bookmark_count"": 0, ""views"": null}","{""created_at"": ""Sun Feb 01 18:34:20 +0000 2026"", ""attached_urls"": [], ""attached_urls2"": null, ""attached_media"": null, ""tagged_users"": [""RapidResponse47"", ""Sec_Noem"", ""DHSgov"", ""ICEgov""], ""tagged_hashtags"": [], ""favorite_count"": 0, ""bookmark_count"": 0, ""quote_count"": 0, ""reply_count"": 0, ""retweet_count"": 171, ""text"": ""RT @RapidResponse47: .@Sec_Noem on @DHSgov's record-setting year under President Trump: \""Just at @ICEgov, we had over 220,000 applications…"", ""is_quote"": false, ""is_retweet"": false, ""language"": ""en"", ""user_id"": ""39384517"", ""id"": ""2018030171597558000"", ""conversation_id"": ""2018030171597558000"", ""source"": ""<a href=\""https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>"", ""views"": null, ""in_reply_to_status_id"": null, ""quoted_status_id"": null, ""url"": ""https://x.com/ICEgov/status/2018030171597558000""}",1,,
3,x,2018007741332152708,https://x.com/ICEgov/status/2018007741332152708,,,en,ICEgov,U.S. Immigration and Customs Enforcement,government,"18TH STREET GANG MEMBER
• CARRYING A PROHIBITED WEAPON
• WEAPON POSSESSION
• NARCOTICS EQUIPMENT POSSESSION  

Josue Fernando Ruiz-Castro, a criminal illegal alien from Honduras, was previously deported in 2018 and has pending charges for drug possession and driving without a https://t.co/IYqibZWsKf",Sun Feb 01 17:05:12 +0000 2026,2026-02-01T18:39:11.683019+00:00,"[{""url"": ""https://pbs.twimg.com/media/HAFnWLpWYAAIkI3.png"", ""type"": ""photo""}]","{""favorite_count"": 685, ""retweet_count"": 195, ""reply_count"": 45, ""quote_count"": 6, ""bookmark_count"": 6, ""views"": ""8995""}","{""created_at"": ""Sun Feb 01 17:05:12 +0000 2026"", ""attached_urls"": [], ""attached_urls2"": null, ""attached_media"": [""https://pbs.twimg.com/media/HAFnWLpWYAAIkI3.png""], ""tagged_users"": [], ""tagged_hashtags"": [], ""favorite_count"": 685, ""bookmark_count"": 6, ""quote_count"": 6, ""reply_count"": 45, ""retweet_count"": 195, ""text"": ""18TH STREET GANG MEMBER\n• CARRYING A PROHIBITED WEAPON\n• WEAPON POSSESSION\n• NARCOTICS EQUIPMENT POSSESSION  \n\nJosue Fernando Ruiz-Castro, a criminal illegal alien from Honduras, was previously deported in 2018 and has pending charges for drug possession and driving without a https://t.co/IYqibZWsKf"", ""is_quote"": false, ""is_retweet"": false, ""language"": ""en"", ""user_id"": ""39384517"", ""id"": ""2018007741332152708"", ""conversation_id"": ""2018007741332152708"", ""source"": ""<a href=\""https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>"", ""views"": ""8995"", ""in_reply_to_status_id"": null, ""quoted_status_id"": null, ""url"": ""https://x.com/ICEgov/status/2018007741332152708""}",1,,
4,x,2017959932818063787,https://x.com/ICEgov/status/2017959932818063787,,,en,ICEgov,U.S. Immigration and Customs Enforcement,government,"• ROBBERY
• ASSAULT
• VEHICLE THEFT
• DUI
• WEAPON POSSESSION

ICE Atlanta officers arrested previously removed violent Mexican criminal alien Wilfredo Ortega-Morales safely thanks to the Clayton County Jail honoring an immigration detainer.

Ortega-Morales has 2013 final https://t.co/EszTY4ODVP",Sun Feb 01 13:55:14 +0000 2026,2026-02-01T18:39:11.683061+00:00,"[{""url"": ""https://pbs.twimg.com/media/HAE73XzWEAA1ZiS.png"", ""type"": ""photo""}]","{""favorite_count"": 1514, ""retweet_count"": 394, ""reply_count"": 102, ""quote_count"": 25, ""bookmark_count"": 14, ""views"": ""13963""}","{""created_at"": ""Sun Feb 01 13:55:14 +0000 2026"", ""attached_urls"": [], ""attached_urls2"": null, ""attached_media"": [""https://pbs.twimg.com/media/HAE73XzWEAA1ZiS.png""], ""tagged_users"": [], ""tagged_hashtags"": [], ""favorite_count"": 1514, ""bookmark_count"": 14, ""quote_count"": 25, ""reply_count"": 102, ""retweet_count"": 394, ""text"": ""• ROBBERY\n• ASSAULT\n• VEHICLE THEFT\n• DUI\n• WEAPON POSSESSION\n\nICE Atlanta officers arrested previously removed violent Mexican criminal alien Wilfredo Ortega-Morales safely thanks to the Clayton County Jail honoring an immigration detainer.\n\nOrtega-Morales has 2013 final https://t.co/EszTY4ODVP"", ""is_quote"": false, ""is_retweet"": false, ""language"": ""en"", ""user_id"": ""39384517"", ""id"": ""2017959932818063787"", ""conversation_id"": ""2017959932818063787"", ""source"": ""<a href=\""https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>"", ""views"": ""13963"", ""in_reply_to_status_id"": null, ""quoted_status_id"": null, ""url"": ""https://x.com/ICEgov/status/2017959932818063787""}",1,,
5,x,2017753961131082109,https://x.com/ICEgov/status/2017753961131082109,,,en,ICEgov,U.S. Immigration and Customs Enforcement,government,"During a targeted enforcement operation to arrest a serial criminal illegal alien with multiple arrests for assault, domestic violence and DUI, an individual began stalking and obstructing law enforcement officers.

Despite officers activating emergency lights to issue a warning,",Sun Feb 01 00:16:47 +0000 2026,2026-02-01T18:39:11.683087+00:00,[],"{""favorite_count"": 5788, ""retweet_count"": 1137, ""reply_count"": 515, ""quote_count"": 62, ""bookmark_count"": 122, ""views"": ""160623""}","{""created_at"": ""Sun Feb 01 00:16:47 +0000 2026"", ""attached_urls"": [], ""attached_urls2"": null, ""attached_media"": null, ""tagged_users"": [], ""tagged_hashtags"": [], ""favorite_count"": 5788, ""bookmark_count"": 122, ""quote_count"": 62, ""reply_count"": 515, ""retweet_count"": 1137, ""text"": ""During a targeted enforcement operation to arrest a serial criminal illegal alien with multiple arrests for assault, domestic violence and DUI, an individual began stalking and obstructing law enforcement officers.\n\nDespite officers activating emergency lights to issue a warning,"", ""is_quote"": true, ""is_retweet"": false, ""language"": ""en"", ""user_id"": ""39384517"", ""id"": ""2017753961131082109"", ""conversation_id"": ""2017753961131082109"", ""source"": ""<a href=\""https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>"", ""views"": ""160623"", ""in_reply_to_status_id"": null, ""quoted_status_id"": ""2017631864337437034"", ""url"": ""https://x.com/ICEgov/status/2017753961131082109""}",1,,2017631864337437034
6,x,2017747024683360746,https://x.com/ICEgov/status/2017747024683360746,"[""TriciaOhio"", ""DHSgov""]",,en,ICEgov,U.S. Immigration and Customs Enforcement,government,RT @TriciaOhio: As @dhsgov law enforcement conducted a targeted operation to arrest a serial criminal illegal alien whose rap sheet include…,Sat Jan 31 23:49:13 +0000 2026,2026-02-01T18:39:11.683111+00:00,[],"{""favorite_count"": 0, ""retweet_count"": 803, ""reply_count"": 0, ""quote_count"": 0, ""bookmark_count"": 0, ""views"": null}","{""created_at"": ""Sat Jan 31 23:49:13 +0000 2026"", ""attached_urls"": [], ""attached_urls2"": null, ""attached_media"": null, ""tagged_users"": [""TriciaOhio"", ""DHSgov""], ""tagged_hashtags"": [], ""favorite_count"": 0, ""bookmark_count"": 0, ""quote_count"": 0, ""reply_count"": 0, ""retweet_count"": 803, ""text"": ""RT @TriciaOhio: As @dhsgov law enforcement conducted a targeted operation to arrest a serial criminal illegal alien whose rap sheet include…"", ""is_quote"": true, ""is_retweet"": false, ""language"": ""en"", ""user_id"": ""39384517"", ""id"": ""2017747024683360746"", ""conversation_id"": ""2017747024683360746"", ""source"": ""<a href=\""https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>"", ""views"": null, ""in_reply_to_status_id"": null, ""quoted_status_id"": ""2017631864337437034"", ""url"": ""https://x.com/ICEgov/status/2017747024683360746""}",1,,2017631864337437034
7,x,2017746034726769065,https://x.com/ICEgov/status/2017746034726769065,,,en,ICEgov,U.S. Immigration and Customs Enforcement,government,"CRIMINAL ILLEGAL ALIEN RAMS ICE LAW ENFORCEMENT IN MINNESOTA

Tranquilino Sixto-Anorve, a criminal illegal alien from Mexico with multiple DUIs, rammed an ICE vehicle and struck a civilian car this morning in St. Paul, MN.

ICE targeted Sixto-Anorve for arrest because his https://t.co/sF39cWocsG",Sat Jan 31 23:45:17 +0000 2026,2026-02-01T18:39:11.683132+00:00,"[{""url"": ""https://pbs.twimg.com/media/HAB5UnhWQAA_TI-.jpg"", ""type"": ""photo""}, {""url"": ""https://pbs.twimg.com/media/HAB5UnTWIAA-Nr1.jpg"", ""type"": ""photo""}, {""url"": ""https://pbs.twimg.com/media/HAB5UoYW8AAWPq3.jpg"", ""type"": ""photo""}]","{""favorite_count"": 5155, ""retweet_count"": 1639, ""reply_count"": 296, ""quote_count"": 45, ""bookmark_count"": 76, ""views"": ""45006""}","{""created_at"": ""Sat Jan 31 23:45:17 +0000 2026"", ""attached_urls"": [], ""attached_urls2"": null, ""attached_media"": [""https://pbs.twimg.com/media/HAB5UnhWQAA_TI-.jpg"", ""https://pbs.twimg.com/media/HAB5UnTWIAA-Nr1.jpg"", ""https://pbs.twimg.com/media/HAB5UoYW8AAWPq3.jpg""], ""tagged_users"": [], ""tagged_hashtags"": [], ""favorite_count"": 5155, ""bookmark_count"": 76, ""quote_count"": 45, ""reply_count"": 296, ""retweet_count"": 1639, ""text"": ""CRIMINAL ILLEGAL ALIEN RAMS ICE LAW ENFORCEMENT IN MINNESOTA\n\nTranquilino Sixto-Anorve, a criminal illegal alien from Mexico with multiple DUIs, rammed an ICE vehicle and struck a civilian car this morning in St. Paul, MN.\n\nICE targeted Sixto-Anorve for arrest because his https://t.co/sF39cWocsG"", ""is_quote"": false, ""is_retweet"": false, ""language"": ""en"", ""user_id"": ""39384517"", ""id"": ""2017746034726769065"", ""conversation_id"": ""2017746034726769065"", ""source"": ""<a href=\""https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>"", ""views"": ""45006"", ""in_reply_to_status_id"": null, ""quoted_status_id"": null, ""url"": ""https://x.com/ICEgov/status/2017746034726769065""}",1,,
8,x,2017741058063335865,https://x.com/ICEgov/status/2017741058063335865,"[""DHSgov""]",,en,ICEgov,U.S. Immigration and Customs Enforcement,government,RT @DHSgov: While law enforcement officers were conducting a targeted operation to arrest a serial criminal illegal alien whose rap sheet i…,Sat Jan 31 23:25:30 +0000 2026,2026-02-01T18:39:11.683157+00:00,[],"{""favorite_count"": 0, ""retweet_count"": 3634, ""reply_count"": 0, ""quote_count"": 0, ""bookmark_count"": 0, ""views"": null}","{""created_at"": ""Sat Jan 31 23:25:30 +0000 2026"", ""attached_urls"": [], ""attached_urls2"": null, ""attached_media"": null, ""tagged_users"": [""DHSgov""], ""tagged_hashtags"": [], ""favorite_count"": 0, ""bookmark_count"": 0, ""quote_count"": 0, ""reply_count"": 0, ""retweet_count"": 3634, ""text"": ""RT @DHSgov: While law enforcement officers were conducting a targeted operation to arrest a serial criminal illegal alien whose rap sheet i…"", ""is_quote"": true, ""is_retweet"": false, ""language"": ""en"", ""user_id"": ""39384517"", ""id"": ""2017741058063335865"", ""conversation_id"": ""2017741058063335865"", ""source"": ""<a href=\""http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>"", ""views"": null, ""in_reply_to_status_id"": null, ""quoted_status_id"": ""2017631864337437034"", ""url"": ""https://x.com/ICEgov/status/2017741058063335865""}",1,,2017631864337437034
9,x,2017731462787686656,https://x.com/ICEgov/status/2017731462787686656,"[""ERONewOrleans""]",,en,ICEgov,U.S. Immigration and Customs Enforcement,government,"RT @ERONewOrleans: 🚨ICE New Orleans removed Julio Cesar Hernandez-Razo, an illegal alien from Mexico.  🇲🇽
💥Criminal history involves aggrav…",Sat Jan 31 22:47:23 +0000 2026,2026-02-01T18:39:11.683179+00:00,[],"{""favorite_count"": 0, ""retweet_count"": 417, ""reply_count"": 0, ""quote_count"": 0, ""bookmark_count"": 0, ""views"": null}","{""created_at"": ""Sat Jan 31 22:47:23 +0000 2026"", ""attached_urls"": [], ""attached_urls2"": null, ""attached_media"": null, ""tagged_users"": [""ERONewOrleans""], ""tagged_hashtags"": [], ""favorite_count"": 0, ""bookmark_count"": 0, ""quote_count"": 0, ""reply_count"": 0, ""retweet_count"": 417, ""text"": ""RT @ERONewOrleans: 🚨ICE New Orleans removed Julio Cesar Hernandez-Razo, an illegal alien from Mexico.  🇲🇽\n💥Criminal history involves aggrav…"", ""is_quote"": false, ""is_retweet"": false, ""language"": ""en"", ""user_id"": ""39384517"", ""id"": ""2017731462787686656"", ""conversation_id"": ""2017731462787686656"", ""source"": ""<a href=\""https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>"", ""views"": null, ""in_reply_to_status_id"": null, ""quoted_status_id"": null, ""url"": ""https://x.com/ICEgov/status/2017731462787686656""}",1,,
10,x,2017730189921231116,https://x.com/ICEgov/status/2017730189921231116,"[""RapidResponse47""]",,zxx,ICEgov,U.S. Immigration and Customs Enforcement,government,RT @RapidResponse47: https://t.co/n5YeRDh6yg,Sat Jan 31 22:42:19 +0000 2026,2026-02-01T18:39:11.683206+00:00,"[{""url"": ""https://pbs.twimg.com/media/HABSlMRXQAA6Ja2.jpg"", ""type"": ""photo""}]","{""favorite_count"": 0, ""retweet_count"": 3576, ""reply_count"": 0, ""quote_count"": 0, ""bookmark_count"": 0, ""views"": null}","{""created_at"": ""Sat Jan 31 22:42:19 +0000 2026"", ""attached_urls"": [], ""attached_urls2"": null, ""attached_media"": [""https://pbs.twimg.com/media/HABSlMRXQAA6Ja2.jpg""], ""tagged_users"": [""RapidResponse47""], ""tagged_hashtags"": [], ""favorite_count"": 0, ""bookmark_count"": 0, ""quote_count"": 0, ""reply_count"": 0, ""retweet_count"": 3576, ""text"": ""RT @RapidResponse47: https://t.co/n5YeRDh6yg"", ""is_quote"": false, ""is_retweet"": false, ""language"": ""zxx"", ""user_id"": ""39384517"", ""id"": ""2017730189921231116"", ""conversation_id"": ""2017730189921231116"", ""source"": ""<a href=\""https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>"", ""views"": null, ""in_reply_to_status_id"": null, ""quoted_status_id"": null, ""url"": ""https://x.com/ICEgov/status/2017730189921231116""}",1,,
